"","venue_clean","Toss","Batted First","Bowled First"
"1","Arun Jaitley Stadium, Delhi","Won Toss",4,15
"2","Arun Jaitley Stadium, Delhi","Lost Toss",15,4
"3","Barsapara Cricket Stadium, Guwahati","Won Toss",1,4
"4","Barsapara Cricket Stadium, Guwahati","Lost Toss",4,1
"5","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Won Toss",6,16
"6","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lost Toss",16,6
"7","Brabourne Stadium, Mumbai","Won Toss",3,13
"8","Brabourne Stadium, Mumbai","Lost Toss",13,3
"9","Dr DY Patil Sports Academy, Mumbai","Won Toss",3,17
"10","Dr DY Patil Sports Academy, Mumbai","Lost Toss",17,3
"11","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Won Toss",3,1
"12","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Lost Toss",1,3
"13","Eden Gardens, Kolkata","Won Toss",5,18
"14","Eden Gardens, Kolkata","Lost Toss",18,5
"15","Himachal Pradesh Cricket Association Stadium, Dharamsala","Won Toss",1,5
"16","Himachal Pradesh Cricket Association Stadium, Dharamsala","Lost Toss",5,1
"17","M Chinnaswamy Stadium, Bengaluru","Won Toss",0,19
"18","M Chinnaswamy Stadium, Bengaluru","Lost Toss",19,0
"19","MA Chidambaram Stadium, Chepauk, Chennai","Won Toss",8,16
"20","MA Chidambaram Stadium, Chepauk, Chennai","Lost Toss",16,8
"21","Maharaja Yadavindra Singh International Cricket Stadium","Won Toss",4,7
"22","Maharaja Yadavindra Singh International Cricket Stadium","Lost Toss",7,4
"23","Maharashtra Cricket Association Stadium, Pune","Won Toss",2,11
"24","Maharashtra Cricket Association Stadium, Pune","Lost Toss",11,2
"25","Narendra Modi Stadium, Ahmedabad","Won Toss",6,22
"26","Narendra Modi Stadium, Ahmedabad","Lost Toss",22,6
"27","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","Won Toss",0,5
"28","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","Lost Toss",5,0
"29","Rajiv Gandhi International Stadium, Uppal, Hyderabad","Won Toss",8,11
"30","Rajiv Gandhi International Stadium, Uppal, Hyderabad","Lost Toss",11,8
"31","Sawai Mansingh Stadium, Jaipur","Won Toss",8,9
"32","Sawai Mansingh Stadium, Jaipur","Lost Toss",9,8
"33","Wankhede Stadium, Mumbai","Won Toss",7,35
"34","Wankhede Stadium, Mumbai","Lost Toss",35,7
